boom_OD_mm,boom_wall_mm,strut_OD_mm,strut_wall_mm,frame_mass_kg,lg_mass_kg,total_mass_kg,frame_RF,lg_RF,min_RF,frame_VM_MPa,lg_VM_MPa,feasible
200.0,7.50,130.0,11.0,210.237,47.735,257.972,0.6568,2.6544,0.6568,532.90,189.50,0
200.0,7.50,130.0,12.0,210.237,51.637,261.874,0.6568,2.8311,0.6568,532.90,177.67,0
200.0,7.50,140.0,5.0,210.237,24.615,234.852,0.6568,1.6047,0.6568,532.90,313.45,0
200.0,7.50,140.0,6.0,210.237,29.319,239.556,0.6568,1.8864,0.6568,532.90,266.65,0
200.0,7.50,140.0,7.0,210.237,33.951,244.187,0.6568,2.1558,0.6568,532.90,233.32,0
200.0,7.50,140.0,8.0,210.237,38.509,248.746,0.6568,2.4133,0.6568,532.90,208.43,0
200.0,7.50,140.0,9.0,210.237,42.994,253.231,0.6568,2.6592,0.6568,532.90,189.15,0
200.0,7.50,140.0,10.0,210.237,47.407,257.644,0.6568,2.8939,0.6568,532.90,173.81,0
200.0,7.50,140.0,11.0,210.237,51.746,261.983,0.6568,3.1177,0.6568,532.90,161.34,0
200.0,7.50,140.0,12.0,210.237,56.013,266.250,0.6568,3.3310,0.6568,532.90,151.01,0
200.0,10.00,80.0,5.0,276.675,13.675,290.350,0.8431,0.5005,0.5005,415.14,1005.08,0
200.0,10.00,80.0,6.0,276.675,16.191,292.866,0.8431,0.5787,0.5787,415.14,869.22,0
200.0,10.00,80.0,7.0,276.675,18.635,295.310,0.8431,0.6505,0.6505,415.14,773.28,0
200.0,10.00,80.0,8.0,276.675,21.005,297.680,0.8431,0.7162,0.7162,415.14,702.32,0
200.0,10.00,80.0,9.0,276.675,23.302,299.977,0.8431,0.7762,0.7762,415.14,648.02,0
200.0,10.00,80.0,10.0,276.675,25.527,302.202,0.8431,0.8308,0.8308,415.14,605.42,0
200.0,10.00,80.0,11.0,276.675,27.678,304.353,0.8431,0.8804,0.8431,415.14,571.34,0
200.0,10.00,80.0,12.0,276.675,29.757,306.432,0.8431,0.9252,0.8431,415.14,543.66,0
200.0,10.00,90.0,5.0,276.675,15.498,292.174,0.8431,0.6431,0.6431,415.14,782.19,0
200.0,10.00,90.0,6.0,276.675,18.379,295.054,0.8431,0.7468,0.7468,415.14,673.57,0
200.0,10.00,90.0,7.0,276.675,21.187,297.862,0.8431,0.8430,0.8430,415.14,596.65,0
200.0,10.00,90.0,8.0,276.675,23.922,300.597,0.8431,0.9322,0.8431,415.14,539.57,0
200.0,10.00,90.0,9.0,276.675,26.584,303.259,0.8431,1.0147,0.8431,415.14,495.72,0
200.0,10.00,90.0,10.0,276.675,29.173,305.849,0.8431,1.0907,0.8431,415.14,461.15,0
200.0,10.00,90.0,11.0,276.675,31.690,308.365,0.8431,1.1607,0.8431,415.14,433.34,0
200.0,10.00,90.0,12.0,276.675,34.133,310.808,0.8431,1.2250,0.8431,415.14,410.61,0
200.0,10.00,100.0,5.0,276.675,17.322,293.997,0.8431,0.8026,0.8026,415.14,626.69,0
200.0,10.00,100.0,6.0,276.675,20.567,297.242,0.8431,0.9353,0.8431,415.14,537.81,0
200.0,10.00,100.0,7.0,276.675,23.740,300.415,0.8431,1.0595,0.8431,415.14,474.76,0
200.0,10.00,100.0,8.0,276.675,26.840,303.515,0.8431,1.1756,0.8431,415.14,427.87,0
200.0,10.00,100.0,9.0,276.675,29.866,306.541,0.8431,1.2840,0.8431,415.14,391.75,0
200.0,10.00,100.0,10.0,276.675,32.820,309.495,0.8431,1.3850,0.8431,415.14,363.18,0
200.0,10.00,100.0,11.0,276.675,35.701,312.376,0.8431,1.4790,0.8431,415.14,340.10,0
200.0,10.00,100.0,12.0,276.675,38.509,315.184,0.8431,1.5662,0.8431,415.14,321.16,0
200.0,10.00,110.0,5.0,276.675,19.145,295.820,0.8431,0.9789,0.8431,415.14,513.86,0
200.0,10.00,110.0,6.0,276.675,22.755,299.430,0.8431,1.1438,0.8431,415.14,439.75,0
200.0,10.00,110.0,7.0,276.675,26.293,302.968,0.8431,1.2994,0.8431,415.14,387.11,0
200.0,10.00,110.0,8.0,276.675,29.757,306.432,0.8431,1.4459,0.8431,415.14,347.89,0
200.0,10.00,110.0,9.0,276.675,33.148,309.824,0.8431,1.5836,0.8431,415.14,317.62,0
200.0,10.00,110.0,10.0,276.675,36.467,313.142,0.8431,1.7130,0.8431,415.14,293.63,0
200.0,10.00,110.0,11.0,276.675,39.712,316.388,0.8431,1.8344,0.8431,415.14,274.21,0
200.0,10.00,110.0,12.0,276.675,42.885,319.560,0.8431,1.9480,0.8431,415.14,258.21,0
200.0,10.00,120.0,5.0,276.675,20.968,297.644,0.8431,1.1715,0.8431,415.14,429.37,0
200.0,10.00,120.0,6.0,276.675,24.943,301.618,0.8431,1.3721,0.8431,415.14,366.59,0
200.0,10.00,120.0,7.0,276.675,28.845,305.520,0.8431,1.5623,0.8431,415.14,321.95,0
200.0,10.00,120.0,8.0,276.675,32.674,309.349,0.8431,1.7425,0.8431,415.14,288.66,0
200.0,10.00,120.0,9.0,276.675,36.430,313.106,0.8431,1.9131,0.8431,415.14,262.93,0
200.0,10.00,120.0,10.0,276.675,40.113,316.789,0.8431,2.0742,0.8431,415.14,242.50,0
200.0,10.00,120.0,11.0,276.675,43.724,320.399,0.8431,2.2264,0.8431,415.14,225.92,0
200.0,10.00,120.0,12.0,276.675,47.261,323.936,0.8431,2.3699,0.8431,415.14,212.24,0
200.0,10.00,130.0,5.0,276.675,22.792,299.467,0.8431,1.3802,0.8431,415.14,364.44,0
200.0,10.00,130.0,6.0,276.675,27.131,303.806,0.8431,1.6197,0.8431,415.14,310.55,0
200.0,10.00,130.0,7.0,276.675,31.398,308.073,0.8431,1.8479,0.8431,415.14,272.19,0
200.0,10.00,130.0,8.0,276.675,35.592,312.267,0.8431,2.0652,0.8431,415.14,243.56,0
200.0,10.00,130.0,9.0,276.675,39.712,316.388,0.8431,2.2718,0.8431,415.14,221.41,0
200.0,10.00,130.0,10.0,276.675,43.760,320.435,0.8431,2.4681,0.8431,415.14,203.80,0
200.0,10.00,130.0,11.0,276.675,47.735,324.410,0.8431,2.6544,0.8431,415.14,189.50,0
200.0,10.00,130.0,12.0,276.675,51.637,328.312,0.8431,2.8311,0.8431,415.14,177.67,0
200.0,10.00,140.0,5.0,276.675,24.615,301.290,0.8431,1.6047,0.8431,415.14,313.45,0
200.0,10.00,140.0,6.0,276.675,29.319,305.994,0.8431,1.8864,0.8431,415.14,266.65,0
200.0,10.00,140.0,7.0,276.675,33.951,310.626,0.8431,2.1558,0.8431,415.14,233.32,0
200.0,10.00,140.0,8.0,276.675,38.509,315.184,0.8431,2.4133,0.8431,415.14,208.43,0
200.0,10.00,140.0,9.0,276.675,42.994,319.670,0.8431,2.6592,0.8431,415.14,189.15,0
200.0,10.00,140.0,10.0,276.675,47.407,324.082,0.8431,2.8939,0.8431,415.14,173.81,0
200.0,10.00,140.0,11.0,276.675,51.746,328.422,0.8431,3.1177,0.8431,415.14,161.34,0
200.0,10.00,140.0,12.0,276.675,56.013,332.688,0.8431,3.3310,0.8431,415.14,151.01,0
200.0,12.50,80.0,5.0,341.293,13.675,354.968,1.0145,0.5005,0.5005,345.00,1005.08,0
200.0,12.50,80.0,6.0,341.293,16.191,357.485,1.0145,0.5787,0.5787,345.00,869.22,0
200.0,12.50,80.0,7.0,341.293,18.635,359.928,1.0145,0.6505,0.6505,345.00,773.28,0
200.0,12.50,80.0,8.0,341.293,21.005,362.298,1.0145,0.7162,0.7162,345.00,702.32,0
200.0,12.50,80.0,9.0,341.293,23.302,364.596,1.0145,0.7762,0.7762,345.00,648.02,0
200.0,12.50,80.0,10.0,341.293,25.527,366.820,1.0145,0.8308,0.8308,345.00,605.42,0
200.0,12.50,80.0,11.0,341.293,27.678,368.972,1.0145,0.8804,0.8804,345.00,571.34,0
200.0,12.50,80.0,12.0,341.293,29.757,371.050,1.0145,0.9252,0.9252,345.00,543.66,0
200.0,12.50,90.0,5.0,341.293,15.498,356.792,1.0145,0.6431,0.6431,345.00,782.19,0
200.0,12.50,90.0,6.0,341.293,18.379,359.673,1.0145,0.7468,0.7468,345.00,673.57,0
200.0,12.50,90.0,7.0,341.293,21.187,362.481,1.0145,0.8430,0.8430,345.00,596.65,0
200.0,12.50,90.0,8.0,341.293,23.922,365.216,1.0145,0.9322,0.9322,345.00,539.57,0
200.0,12.50,90.0,9.0,341.293,26.584,367.878,1.0145,1.0147,1.0145,345.00,495.72,0
200.0,12.50,90.0,10.0,341.293,29.173,370.467,1.0145,1.0907,1.0145,345.00,461.15,0
200.0,12.50,90.0,11.0,341.293,31.690,372.983,1.0145,1.1607,1.0145,345.00,433.34,0
200.0,12.50,90.0,12.0,341.293,34.133,375.426,1.0145,1.2250,1.0145,345.00,410.61,0
200.0,12.50,100.0,5.0,341.293,17.322,358.615,1.0145,0.8026,0.8026,345.00,626.69,0
200.0,12.50,100.0,6.0,341.293,20.567,361.861,1.0145,0.9353,0.9353,345.00,537.81,0
200.0,12.50,100.0,7.0,341.293,23.740,365.033,1.0145,1.0595,1.0145,345.00,474.76,0
200.0,12.50,100.0,8.0,341.293,26.840,368.133,1.0145,1.1756,1.0145,345.00,427.87,0
200.0,12.50,100.0,9.0,341.293,29.866,371.160,1.0145,1.2840,1.0145,345.00,391.75,0
200.0,12.50,100.0,10.0,341.293,32.820,374.114,1.0145,1.3850,1.0145,345.00,363.18,0
200.0,12.50,100.0,11.0,341.293,35.701,376.994,1.0145,1.4790,1.0145,345.00,340.10,0
200.0,12.50,100.0,12.0,341.293,38.509,379.802,1.0145,1.5662,1.0145,345.00,321.16,0
200.0,12.50,110.0,5.0,341.293,19.145,360.438,1.0145,0.9789,0.9789,345.00,513.86,0
200.0,12.50,110.0,6.0,341.293,22.755,364.049,1.0145,1.1438,1.0145,345.00,439.75,0
200.0,12.50,110.0,7.0,341.293,26.293,367.586,1.0145,1.2994,1.0145,345.00,387.11,0
200.0,12.50,110.0,8.0,341.293,29.757,371.050,1.0145,1.4459,1.0145,345.00,347.89,0
200.0,12.50,110.0,9.0,341.293,33.148,374.442,1.0145,1.5836,1.0145,345.00,317.62,0
200.0,12.50,110.0,10.0,341.293,36.467,377.760,1.0145,1.7130,1.0145,345.00,293.63,0
200.0,12.50,110.0,11.0,341.293,39.712,381.006,1.0145,1.8344,1.0145,345.00,274.21,0
200.0,12.50,110.0,12.0,341.293,42.885,384.178,1.0145,1.9480,1.0145,345.00,258.21,0
200.0,12.50,120.0,5.0,341.293,20.968,362.262,1.0145,1.1715,1.0145,345.00,429.37,0
200.0,12.50,120.0,6.0,341.293,24.943,366.237,1.0145,1.3721,1.0145,345.00,366.59,0
200.0,12.50,120.0,7.0,341.293,28.845,370.139,1.0145,1.5623,1.0145,345.00,321.95,0
200.0,12.50,120.0,8.0,341.293,32.674,373.968,1.0145,1.7425,1.0145,345.00,288.66,0
200.0,12.50,120.0,9.0,341.293,36.430,377.724,1.0145,1.9131,1.0145,345.00,262.93,0
200.0,12.50,120.0,10.0,341.293,40.113,381.407,1.0145,2.0742,1.0145,345.00,242.50,0
200.0,12.50,120.0,11.0,341.293,43.724,385.017,1.0145,2.2264,1.0145,345.00,225.92,0
200.0,12.50,120.0,12.0,341.293,47.261,388.554,1.0145,2.3699,1.0145,345.00,212.24,0
200.0,12.50,130.0,5.0,341.293,22.792,364.085,1.0145,1.3802,1.0145,345.00,364.44,0
200.0,12.50,130.0,6.0,341.293,27.131,368.425,1.0145,1.6197,1.0145,345.00,310.55,0
200.0,12.50,130.0,7.0,341.293,31.398,372.691,1.0145,1.8479,1.0145,345.00,272.19,0
200.0,12.50,130.0,8.0,341.293,35.592,376.885,1.0145,2.0652,1.0145,345.00,243.56,0
200.0,12.50,130.0,9.0,341.293,39.712,381.006,1.0145,2.2718,1.0145,345.00,221.41,0
200.0,12.50,130.0,10.0,341.293,43.760,385.054,1.0145,2.4681,1.0145,345.00,203.80,0
200.0,12.50,130.0,11.0,341.293,47.735,389.028,1.0145,2.6544,1.0145,345.00,189.50,0
200.0,12.50,130.0,12.0,341.293,51.637,392.930,1.0145,2.8311,1.0145,345.00,177.67,0
200.0,12.50,140.0,5.0,341.293,24.615,365.909,1.0145,1.6047,1.0145,345.00,313.45,0
200.0,12.50,140.0,6.0,341.293,29.319,370.613,1.0145,1.8864,1.0145,345.00,266.65,0
200.0,12.50,140.0,7.0,341.293,33.951,375.244,1.0145,2.1558,1.0145,345.00,233.32,0
200.0,12.50,140.0,8.0,341.293,38.509,379.802,1.0145,2.4133,1.0145,345.00,208.43,0
200.0,12.50,140.0,9.0,341.293,42.994,384.288,1.0145,2.6592,1.0145,345.00,189.15,0
200.0,12.50,140.0,10.0,341.293,47.407,388.700,1.0145,2.8939,1.0145,345.00,173.81,0
200.0,12.50,140.0,11.0,341.293,51.746,393.040,1.0145,3.1177,1.0145,345.00,161.34,0
200.0,12.50,140.0,12.0,341.293,56.013,397.306,1.0145,3.3310,1.0145,345.00,151.01,0
200.0,15.00,80.0,5.0,404.091,13.675,417.766,1.1718,0.5005,0.5005,298.68,1005.08,0
200.0,15.00,80.0,6.0,404.091,16.191,420.283,1.1718,0.5787,0.5787,298.68,869.22,0
200.0,15.00,80.0,7.0,404.091,18.635,422.726,1.1718,0.6505,0.6505,298.68,773.28,0
200.0,15.00,80.0,8.0,404.091,21.005,425.096,1.1718,0.7162,0.7162,298.68,702.32,0
200.0,15.00,80.0,9.0,404.091,23.302,427.394,1.1718,0.7762,0.7762,298.68,648.02,0
200.0,15.00,80.0,10.0,404.091,25.527,429.618,1.1718,0.8308,0.8308,298.68,605.42,0
200.0,15.00,80.0,11.0,404.091,27.678,431.770,1.1718,0.8804,0.8804,298.68,571.34,0
